MeasuredValue,PrefScore
86.0,4365.0
14.0,3104.0
71.0,3201.0
43.0,3880.0
71.0,3783.0
57.0,3783.0
57.0,2716.0
100.0,3977.0
14.0,2328.0
86.0,4559.0
57.0,3492.0
100.0,5141.0
100.0,5141.0
29.0,3686.0
86.0,4171.0
100.0,1455.0
100.0,3395.0
100.0,5626.0
43.0,2231.0
14.0,3589.0
29.0,873.0
100.0,2328.0
71.0,2619.0
86.0,4559.0
14.0,2037.0
86.0,3492.0
100.0,2565.0
33.0,1881.0
33.0,2280.0
67.0,2223.0
67.0,2223.0
33.0,2337.0
33.0,2679.0
100.0,3021.0
67.0,3021.0
33.0,1995.0
67.0,3306.0
67.0,1368.0
67.0,2679.0
67.0,2052.0
100.0,3195.0
50.0,2343.0
100.0,2840.0
75.0,2769.0
50.0,2769.0
50.0,2911.0
50.0,3337.0
50.0,2556.0
75.0,3763.0
100.0,3763.0
50.0,3053.0
25.0,2485.0
100.0,4118.0
25.0,1633.0
50.0,1704.0
50.0,1917.0
100.0,3337.0
75.0,2556.0
57.0,2688.0
43.0,2772.0
29.0,3360.0
57.0,3276.0
71.0,3276.0
14.0,2352.0
71.0,3444.0
29.0,2016.0
57.0,3948.0
43.0,3024.0
57.0,4452.0
29.0,4452.0
57.0,3612.0
29.0,1260.0
43.0,2940.0
86.0,4872.0
43.0,3108.0
29.0,756.0
14.0,2016.0
14.0,2268.0
71.0,3948.0
29.0,3024.0
80.0,3510.0
7.0,2574.0
73.0,3120.0
53.0,3042.0
33.0,3042.0
20.0,2184.0
73.0,3198.0
20.0,3666.0
40.0,2808.0
87.0,4134.0
87.0,4134.0
40.0,3354.0
47.0,1170.0
33.0,2730.0
87.0,4524.0
13.0,2886.0
40.0,1872.0
20.0,2106.0
73.0,3666.0
87.0,2808.0
40.0,1710.0
57.0,1520.0
23.0,1558.0
80.0,2014.0
80.0,2014.0
77.0,1330.0
68.0,2204.0
100.0,912.0
33.0,1026.0
58.0,1786.0
48.0,1368.0
25.0,2880.0
25.0,2496.0
25.0,1920.0
25.0,2624.0
25.0,3008.0
25.0,2304.0
25.0,3392.0
75.0,3392.0
25.0,2432.0
50.0,960.0
25.0,2240.0
25.0,3712.0
25.0,2368.0
25.0,576.0
25.0,1536.0
25.0,1728.0
75.0,3008.0
25.0,1344.0
25.0,2304.0
20.0,2340.0
80.0,1716.0
100.0,2080.0
100.0,2028.0
100.0,2756.0
40.0,2756.0
20.0,2236.0
20.0,780.0
60.0,1820.0
100.0,3016.0
60.0,1248.0
60.0,2444.0
